Name,Review Count,Avg Review Score,# commits
char,5,4.4,1
katrina,5,5,1
tc55,5,3.6,1
1,14,4.714285714,1
jeninmaine,5,4.6,1
dremin,13,4.384615385,1
sbmiller,5,5,1
cb,37,4.189189189,1
honeyb,10,4.6,1
Jackson,8,5,1
xenofan,10,3.6,1
yh,6,3.833333333,1
ghost,6,4.333333333,1
